cluster_id,time_idx,timestamp,cluster_size,mean_abs_err,max_abs_err,sensor_ids,sensor_names,sensor_indices
91,50,2024-01-01 20:30:34,2,0.012119739316403866,0.014070417732000351,1071;2009,UsTnKnoxville1071;UsOhCleveland2009,55;104
7680,4021,2024-01-01 21:36:45,2,0.012117662467062473,0.012185710482299328,1430;1650,UsMoFranklin1430;UsIlSpringfield1650,77;94
502,306,2024-01-01 20:34:50,2,0.01211600936949253,0.014073839411139488,735;764,UsNmAlbuq735;UsCoGolden764,14;18
2832,1527,2024-01-01 20:55:11,2,0.01211574301123619,0.013538910076022148,1144;1382,UsWaSpokane1144;UsWaSpokane1382,57;66
266,148,2024-01-01 20:32:12,2,0.012114647775888443,0.014264429919421673,1071;2009,UsTnKnoxville1071;UsOhCleveland2009,55;104
1608,892,2024-01-01 20:44:36,2,0.012113707140088081,0.013966988772153854,1144;1691,UsWaSpokane1144;UsWaRichland1691,57;101
3104,1637,2024-01-01 20:57:01,2,0.012113027274608612,0.013214265927672386,774;1364,UsNjTomsriver774;UsNyQueens1364,20;62
3579,1834,2024-01-01 21:00:18,2,0.012112803757190704,0.013140494003891945,781;969,UsMoKirksville781;UsMoClinton969,22;42
4393,2115,2024-01-01 21:04:59,2,0.012111770920455456,0.013210583478212357,792;1055,UsVaHaymarket792;UsNjRedBank1055,24;50
7697,4028,2024-01-01 21:36:52,2,0.012111679650843143,0.01450595073401928,984;1071,UsGaNorcross984;UsTnKnoxville1071,47;55
4854,2407,2024-01-01 21:09:51,2,0.012111554853618145,0.0151106808334589,874;1059,UsWiDodgeville874;UsIlGalesburg1059,30;52
9379,4934,2024-01-01 21:51:58,2,0.012109823524951935,0.013996362686157227,853;1623,UsSantaRosa853;UsCAKelseyville1623,27;89
4136,2012,2024-01-01 21:03:16,2,0.012109154835343361,0.013492206111550331,792;1491,UsVaHaymarket792;UsDeMillsboro1491,24;82
11888,5973,2024-01-01 22:09:17,2,0.012108656577765942,0.013713397085666656,774;1055,UsNjTomsriver774;UsNjRedBank1055,20;50
287,156,2024-01-01 20:32:20,2,0.012106460519134998,0.015014305710792542,1071;2009,UsTnKnoxville1071;UsOhCleveland2009,55;104
316,170,2024-01-01 20:32:34,2,0.012105526402592659,0.014253262430429459,1358;1691,USWaBellingham1358;UsWaRichland1691,60;101
4267,2072,2024-01-01 21:04:16,2,0.012104177847504616,0.0129584651440382,1055;1364,UsNjRedBank1055;UsNyQueens1364,50;62
18181,8120,2024-01-01 22:45:04,2,0.012103077955543995,0.014105405658483505,620;874,UsIlChicago620;UsWiDodgeville874,0;30
1737,946,2024-01-01 20:45:30,2,0.012102705426514149,0.012166586704552174,1069;1071,UsTnChattanoogaTVA1069;UsTnKnoxville1071,54;55
6615,3576,2024-01-01 21:29:20,2,0.012102704495191574,0.013030183501541615,1069;1071,UsTnChattanoogaTVA1069;UsTnKnoxville1071,54;55
16367,7553,2024-01-01 22:35:37,2,0.012102404609322548,0.014076080173254013,620;1059,UsIlChicago620;UsIlGalesburg1059,0;52
10089,5232,2024-01-01 21:56:56,2,0.01210042368620634,0.014947224408388138,984;2009,UsGaNorcross984;UsOhCleveland2009,47;104
13764,6729,2024-01-01 22:21:53,2,0.012099405750632286,0.014368774369359016,709;724,UsTxWaco709;USTxRoundRock724,7;8
8488,4420,2024-01-01 21:43:24,2,0.012098914012312889,0.014161909930408001,774;1364,UsNjTomsriver774;UsNyQueens1364,20;62
8495,4424,2024-01-01 21:43:28,2,0.01209787093102932,0.012284464202821255,774;1364,UsNjTomsriver774;UsNyQueens1364,20;62
7771,4067,2024-01-01 21:37:31,2,0.012096958234906197,0.012697587721049786,1069;1071,UsTnChattanoogaTVA1069;UsTnKnoxville1071,54;55
10606,5454,2024-01-01 22:00:38,2,0.01209685392677784,0.014768448658287525,973;1661,UsFlOrlando973;UsFlBonitaSprings1661,44;97
5227,2797,2024-01-01 21:16:21,2,0.012095458805561066,0.01457034982740879,792;1055,UsVaHaymarket792;UsNjRedBank1055,24;50
6645,3584,2024-01-01 21:29:28,2,0.012095080688595772,0.014874499291181564,620;1059,UsIlChicago620;UsIlGalesburg1059,0;52
2057,1059,2024-01-01 20:47:23,2,0.012094292789697647,0.013039077632129192,774;792,UsNjTomsriver774;UsVaHaymarket792,20;24
17565,7919,2024-01-01 22:41:43,2,0.012093722820281982,0.012630833312869072,1069;1071,UsTnChattanoogaTVA1069;UsTnKnoxville1071,54;55
12613,6272,2024-01-01 22:14:16,2,0.012092625722289085,0.014653420075774193,1059;1650,UsIlGalesburg1059;UsIlSpringfield1650,52;94
3550,1829,2024-01-01 21:00:13,2,0.012090783566236496,0.013723884709179401,764;1412,UsCoGolden764;UsNmSantaFe1412,18;71
5891,3239,2024-01-01 21:23:43,2,0.012089414522051811,0.013020152226090431,973;1661,UsFlOrlando973;UsFlBonitaSprings1661,44;97
2414,1279,2024-01-01 20:51:03,2,0.012087970972061157,0.012417999096214771,859;1364,UsCtUnivconn859;UsNyQueens1364,28;62
2331,1228,2024-01-01 20:50:12,2,0.01208791509270668,0.014506936073303223,792;1491,UsVaHaymarket792;UsDeMillsboro1491,24;82
16773,7686,2024-01-01 22:37:50,2,0.012085843831300735,0.012480179779231548,730;1644,UsMTMduglendive730;UsMtBillings1644,11;93
5298,2872,2024-01-01 21:17:36,2,0.012084937654435635,0.013308502733707428,859;1055,UsCtUnivconn859;UsNjRedBank1055,28;50
7977,4133,2024-01-01 21:38:37,2,0.012084655463695526,0.01491365022957325,984;1071,UsGaNorcross984;UsTnKnoxville1071,47;55
10268,5306,2024-01-01 21:58:10,2,0.012084146961569786,0.014239419251680374,735;764,UsNmAlbuq735;UsCoGolden764,14;18
16905,7750,2024-01-01 22:38:54,2,0.012082641944289207,0.014092907309532166,1417;1425,UsGaValdosta1417;UsGaWhigham1425,74;76
13080,6472,2024-01-01 22:17:36,2,0.012079894542694092,0.014290212653577328,620;1059,UsIlChicago620;UsIlGalesburg1059,0;52
