episode_id,sensor_set,cluster_size,start_time_idx,end_time_idx,peak_time_idx,n_frames,duration_steps,peak_mean_abs_err,peak_max_abs_err,sensor_ids,sensor_names,sensor_indices,peak_timestamp,rank_score
78,792;859;1055;1364,4,3649,3656,3652,7,8,0.0166392736136913,0.0275593735277652,792;1055;1364;859,UsVaHaymarket792;UsNjRedBank1055;UsNyQueens1364;UsCtUnivconn859,24;50;62;28,2024-01-01 21:30:36,0.02163105569779869
79,774;792;1364;1491;1680,5,4305,4305,4305,1,1,0.0149007411673665,0.0263555031269788,774;1491;1680;1364;792,UsNjTomsriver774;UsDeMillsboro1491;UsNcRaleigh1680;UsNyQueens1364;UsVaHaymarket792,20;82;99;62;24,2024-01-01 21:41:29,0.021606074692681422
80,792;859;1055;1364;1491,5,7795,7806,7797,12,12,0.0148677499964833,0.0198294445872306,792;1491;1055;1364;859,UsVaHaymarket792;UsDeMillsboro1491;UsNjRedBank1055;UsNyQueens1364;UsCtUnivconn859,24;82;50;62;28,2024-01-01 22:39:41,0.021558237494900784
81,620;1059,2,7553,7581,7581,2,29,0.021511934697628,0.027484156191349,620;1059,UsIlChicago620;UsIlGalesburg1059,0;52,2024-01-01 22:36:05,0.021511934697628
82,620;874;1059;1355,4,5679,5679,5679,1,1,0.0164670497179031,0.023268423974514,620;1059;874;1355,UsIlChicago620;UsIlGalesburg1059;UsWiDodgeville874;UsMiKingsford1355,0;52;30;59,2024-01-01 22:04:23,0.02140716463327403
83,859;1055;1364,3,7972,8041,7974,9,70,0.0185882020741701,0.0278849061578512,859;1364;1055,UsCtUnivconn859;UsNyQueens1364;UsNjRedBank1055,28;62;50,2024-01-01 22:42:38,0.021376432385295612
84,973;1425;1661,3,3835,3837,3836,3,3,0.0185758899897336,0.0252399053424596,973;1661;1425,UsFlOrlando973;UsFlBonitaSprings1661;UsGaWhigham1425,44;97;76,2024-01-01 21:33:40,0.021362273488193636
85,1071;2009,2,396,547,421,27,152,0.0212947241961956,0.0321799889206886,1071;2009,UsTnKnoxville1071;UsOhCleveland2009,55;104,2024-01-01 20:36:45,0.0212947241961956
86,973;1661,2,4316,4408,4405,6,93,0.0212814770638942,0.0225065182894468,973;1661,UsFlOrlando973;UsFlBonitaSprings1661,44;97,2024-01-01 21:43:09,0.0212814770638942
87,973;1367;1425,3,6508,6610,6584,12,103,0.0183995272964239,0.0263949297368526,973;1425;1367,UsFlOrlando973;UsGaWhigham1425;UsMsGulfport1367,44;76;63,2024-01-01 22:19:28,0.021159456390887486
