episode_id,sensor_set,cluster_size,start_time_idx,end_time_idx,peak_time_idx,n_frames,duration_steps,peak_mean_abs_err,peak_max_abs_err,sensor_ids,sensor_names,sensor_indices,peak_timestamp,rank_score
37,757;1144;1358;1382;1644;1691,6,6434,6812,6812,31,379,0.0489214360713958,0.2103604078292846,757;1644;1382;1691;1358;1144,UsMtMtu757;UsMtBillings1644;UsWaSpokane1382;UsWaRichland1691;USWaBellingham1358;UsWaSpokane1144,17;93;66;101;60;57,2024-01-01 22:23:16,0.07827429771423328
38,730;757;1358;1382;1484,5,7248,7284,7284,4,37,0.0539736561477184,0.1792942732572555,730;1484;757;1382;1358,UsMTMduglendive730;UsNdMdudickinson1484;UsMtMtu757;UsWaSpokane1382;USWaBellingham1358,11;81;17;66;60,2024-01-01 22:31:08,0.07826180141419169
39,726;730;757;871;1144;1382;1484;1644,8,6214,6217,6215,4,4,0.041119061410427,0.1564358323812484,726;1644;757;1382;871;1144;1484;730,UsNdMduwilliston726;UsMtBillings1644;UsMtMtu757;UsWaSpokane1382;UsWaCentralia871;UsWaSpokane1144;UsNdMdudickinson1484;UsMTMduglendive730,10;93;17;66;29;57;81;11,2024-01-01 22:13:19,0.0781262166798113
40,730;757;1144;1382;1484;1691,6,6498,6584,6499,13,87,0.0484885461628437,0.1925154477357864,730;1484;757;1382;1691;1144,UsMTMduglendive730;UsNdMdudickinson1484;UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;UsWaSpokane1144,11;81;17;66;101;57,2024-01-01 22:18:03,0.07758167386054993
41,730;757;1144;1358;1382,5,7285,7641,7534,29,357,0.0534247569739818,0.2104673832654953,730;757;1382;1358;1144,UsMTMduglendive730;UsMtMtu757;UsWaSpokane1382;USWaBellingham1358;UsWaSpokane1144,11;17;66;60;57,2024-01-01 22:35:18,0.07746589761227361
42,730;757;1144;1382;1644;1691,6,6496,6591,6496,3,96,0.0484078973531723,0.2044169604778289,730;1644;757;1382;1691;1144,UsMTMduglendive730;UsMtBillings1644;UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;UsWaSpokane1144,11;93;17;66;101;57,2024-01-01 22:18:00,0.07745263576507569
43,757;1144;1382;1496,4,5310,5484,5402,14,175,0.0595395602285862,0.2006101161241531,757;1496;1382;1144,UsMtMtu757;UsWaWsu1496;UsWaSpokane1382;UsWaSpokane1144,17;83;66;57,2024-01-01 21:59:46,0.07740142829716205
44,730;757;1144;1358;1382;1644;1691,7,6263,6839,6601,39,577,0.0441660396754741,0.2183721363544464,730;1644;757;1382;1691;1358;1144,UsMTMduglendive730;UsMtBillings1644;UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;USWaBellingham1358;UsWaSpokane1144,11;93;17;66;101;60;57,2024-01-01 22:19:45,0.07729056943207967
45,730;757;1644,3,7679,7679,7679,1,1,0.0670358166098594,0.1755807250738144,730;1644;757,UsMTMduglendive730;UsMtBillings1644;UsMtMtu757,11;93;17,2024-01-01 22:37:43,0.0770911891013383
46,757;1144;1358;1382;1644,5,7323,7443,7338,10,121,0.0531069450080394,0.1935641914606094,757;1644;1382;1358;1144,UsMtMtu757;UsMtBillings1644;UsWaSpokane1382;USWaBellingham1358;UsWaSpokane1144,17;93;66;60;57,2024-01-01 22:32:02,0.07700507026165712
47,730;757;1144;1358;1382;1644,6,6687,6818,6789,3,132,0.0476703606545925,0.2073128074407577,730;1644;757;1382;1358;1144,UsMTMduglendive730;UsMtBillings1644;UsMtMtu757;UsWaSpokane1382;USWaBellingham1358;UsWaSpokane1144,11;93;17;66;60;57,2024-01-01 22:22:53,0.07627257704734801
48,730;757;1144;1382;1484;1496;1644,7,7598,7713,7607,6,116,0.0434411577880382,0.1893978118896484,730;1644;1484;757;1496;1382;1144,UsMTMduglendive730;UsMtBillings1644;UsNdMdudickinson1484;UsMtMtu757;UsWaWsu1496;UsWaSpokane1382;UsWaSpokane1144,11;93;81;17;83;66;57,2024-01-01 22:36:31,0.07602202612906685
49,726;730;757;871;1144;1358;1382;1484,8,6225,6240,6231,16,16,0.0399264767765998,0.1527672260999679,726;1484;730;757;1382;1358;871;1144,UsNdMduwilliston726;UsNdMdudickinson1484;UsMTMduglendive730;UsMtMtu757;UsWaSpokane1382;USWaBellingham1358;UsWaCentralia871;UsWaSpokane1144,10;81;11;17;66;60;29;57,2024-01-01 22:13:35,0.07586030587553962
50,730;757;1144;1358;1382;1691,6,7932,8168,8018,19,237,0.0473695248365402,0.2065678089857101,730;757;1382;1691;1358;1144,UsMTMduglendive730;UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;USWaBellingham1358;UsWaSpokane1144,11;17;66;101;60;57,2024-01-01 22:43:22,0.07579123973846433
51,730;757;1358;1382;1484,5,6874,6874,6874,1,1,0.0521865412592887,0.1746122986078262,730;1484;757;1382;1358,UsMTMduglendive730;UsNdMdudickinson1484;UsMtMtu757;UsWaSpokane1382;USWaBellingham1358,11;81;17;66;60,2024-01-01 22:24:18,0.07567048482596861
52,730;757;1144;1358;1382;1484;1644;1691,8,6544,6661,6658,21,118,0.0398075170814991,0.19865483045578,730;1644;1484;757;1382;1691;1358;1144,UsMTMduglendive730;UsMtBillings1644;UsNdMdudickinson1484;UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;USWaBellingham1358;UsWaSpokane1144,11;93;81;17;66;101;60;57,2024-01-01 22:20:42,0.07563428245484828
53,730;757;1144;1358;1496,5,7046,7046,7046,1,1,0.0521471388638019,0.2044668346643448,730;757;1496;1358;1144,UsMTMduglendive730;UsMtMtu757;UsWaWsu1496;USWaBellingham1358;UsWaSpokane1144,11;17;83;60;57,2024-01-01 22:27:10,0.07561335135251275
54,757;1144;1358;1382;1484;1644;1691,7,6623,6709,6705,7,87,0.0431856177747249,0.2007212191820144,757;1644;1484;1382;1691;1358;1144,UsMtMtu757;UsMtBillings1644;UsNdMdudickinson1484;UsWaSpokane1382;UsWaRichland1691;USWaBellingham1358;UsWaSpokane1144,17;93;81;66;101;60;57,2024-01-01 22:21:29,0.07557483110576857
55,726;730;757;871;1144;1358;1484;1644,8,6219,6219,6219,1,1,0.039517655968666,0.1500250548124313,726;1644;757;1144;1358;871;1484;730,UsNdMduwilliston726;UsMtBillings1644;UsMtMtu757;UsWaSpokane1144;USWaBellingham1358;UsWaCentralia871;UsNdMdudickinson1484;UsMTMduglendive730,10;93;17;57;60;29;81;11,2024-01-01 22:13:23,0.07508354634046539
56,757;970;1144;1382;1496;1644;1691,7,5460,5460,5460,1,1,0.0427753217518329,0.2148070931434631,757;1644;970;1496;1691;1382;1144,UsMtMtu757;UsMtBillings1644;UsSdRapidcity970;UsWaWsu1496;UsWaRichland1691;UsWaSpokane1382;UsWaSpokane1144,17;93;43;83;101;66;57,2024-01-01 22:00:44,0.07485681306570757
57,757;1144;1358;1382;1484;1644;1691,7,7802,7955,7843,15,154,0.0427125580608844,0.207072451710701,757;1644;1484;1382;1691;1358;1144,UsMtMtu757;UsMtBillings1644;UsNdMdudickinson1484;UsWaSpokane1382;UsWaRichland1691;USWaBellingham1358;UsWaSpokane1144,17;93;81;66;101;60;57,2024-01-01 22:40:27,0.0747469766065477
58,757;1144;1358;1382;1644;1691,6,7651,8098,7800,22,448,0.0466262847185134,0.2047435641288757,757;1644;1382;1691;1358;1144,UsMtMtu757;UsMtBillings1644;UsWaSpokane1382;UsWaRichland1691;USWaBellingham1358;UsWaSpokane1144,17;93;66;101;60;57,2024-01-01 22:39:44,0.07460205554962145
59,730;757;1144;1358;1382;1644,6,7321,7441,7321,9,121,0.0464300774037838,0.2013628333806991,730;1644;757;1382;1358;1144,UsMTMduglendive730;UsMtBillings1644;UsMtMtu757;UsWaSpokane1382;USWaBellingham1358;UsWaSpokane1144,11;93;17;66;60;57,2024-01-01 22:31:45,0.07428812384605409
60,730;757;1144;1358;1382;1484;1644;1691,8,7681,8136,7794,29,456,0.0389976277947425,0.2051000148057937,730;1644;1484;757;1382;1691;1358;1144,UsMTMduglendive730;UsMtBillings1644;UsNdMdudickinson1484;UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;USWaBellingham1358;UsWaSpokane1144,11;93;81;17;66;101;60;57,2024-01-01 22:39:38,0.07409549281001075
61,730;757;1358;1496;1644,5,7182,7182,7182,1,1,0.050979346036911,0.1928883790969848,730;1644;757;1496;1358,UsMTMduglendive730;UsMtBillings1644;UsMtMtu757;UsWaWsu1496;USWaBellingham1358,11;93;17;83;60,2024-01-01 22:29:26,0.07392005175352094
62,730;757;1144;1382;1484;1644,6,7591,7592,7592,2,2,0.0460772067308425,0.1775400936603546,730;1644;1484;757;1382;1144,UsMTMduglendive730;UsMtBillings1644;UsNdMdudickinson1484;UsMtMtu757;UsWaSpokane1382;UsWaSpokane1144,11;93;81;17;66;57,2024-01-01 22:36:16,0.073723530769348
63,726;730;757;1144;1358;1382;1484;1644,8,6844,6849,6844,2,6,0.0387684479355812,0.1808887273073196,726;1644;757;1382;1358;1144;1484;730,UsNdMduwilliston726;UsMtBillings1644;UsMtMtu757;UsWaSpokane1382;USWaBellingham1358;UsWaSpokane1144;UsNdMdudickinson1484;UsMTMduglendive730,10;93;17;66;60;57;81;11,2024-01-01 22:23:48,0.07366005107760427
64,730;757;1144;1358;1484,5,7188,7233,7188,6,46,0.0507692024111747,0.1595604717731475,730;1484;757;1144;1358,UsMTMduglendive730;UsNdMdudickinson1484;UsMtMtu757;UsWaSpokane1144;USWaBellingham1358,11;81;17;57;60,2024-01-01 22:29:32,0.07361534349620331
65,730;757;1144;1382;1691,5,5931,5931,5931,1,1,0.0504686906933784,0.2042911052703857,730;757;1382;1691;1144,UsMTMduglendive730;UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;UsWaSpokane1144,11;17;66;101;57,2024-01-01 22:08:35,0.07317960150539868
66,757;1144;1644,3,8074,8086,8074,2,13,0.0636262819170951,0.1662137806415558,757;1644;1144,UsMtMtu757;UsMtBillings1644;UsWaSpokane1144,17;93;57,2024-01-01 22:44:18,0.07317022420465936
67,757;1144;1382;1496;1644,5,5305,5668,5439,20,364,0.0503528490662574,0.1929335743188858,757;1644;1496;1382;1144,UsMtMtu757;UsMtBillings1644;UsWaWsu1496;UsWaSpokane1382;UsWaSpokane1144,17;93;83;66;57,2024-01-01 22:00:23,0.07301163114607323
68,730;757;1144;1358;1382;1484;1691,7,6251,6768,6439,95,518,0.0416630879044532,0.1971254795789718,730;1484;757;1382;1691;1358;1144,UsMTMduglendive730;UsNdMdudickinson1484;UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;USWaBellingham1358;UsWaSpokane1144,11;81;17;66;101;60;57,2024-01-01 22:17:03,0.0729104038327931
69,730;757;1144;1358;1382;1484;1691,7,7741,8182,7942,54,442,0.0415277294814586,0.1951267570257187,730;1484;757;1382;1691;1358;1144,UsMTMduglendive730;UsNdMdudickinson1484;UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;USWaBellingham1358;UsWaSpokane1144,11;81;17;66;101;60;57,2024-01-01 22:42:06,0.07267352659255255
70,730;757;1144;1358;1382;1644;1691,7,7078,7080,7078,2,3,0.0415170565247535,0.1809004098176956,730;1644;757;1382;1691;1358;1144,UsMTMduglendive730;UsMtBillings1644;UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;USWaBellingham1358;UsWaSpokane1144,11;93;17;66;101;60;57,2024-01-01 22:27:42,0.07265484891831862
71,757;1144;1358;1382;1644,5,7022,7066,7063,18,45,0.0501040443778038,0.1862210780382156,757;1644;1382;1358;1144,UsMtMtu757;UsMtBillings1644;UsWaSpokane1382;USWaBellingham1358;UsWaSpokane1144,17;93;66;60;57,2024-01-01 22:27:27,0.07265086434781551
72,757;1144;1382;1496;1644;1691,6,6061,6148,6067,13,88,0.0453926026821136,0.206983670592308,757;1644;1496;1691;1382;1144,UsMtMtu757;UsMtBillings1644;UsWaWsu1496;UsWaRichland1691;UsWaSpokane1382;UsWaSpokane1144,17;93;83;101;66;57,2024-01-01 22:10:51,0.07262816429138176
73,730;757;1144;1358;1382;1691,6,7656,7796,7789,13,141,0.0453725792467594,0.202213853597641,730;757;1382;1691;1358;1144,UsMTMduglendive730;UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;USWaBellingham1358;UsWaSpokane1144,11;17;66;101;60;57,2024-01-01 22:39:33,0.07259612679481504
74,757;1144;1644,3,5223,5223,5223,1,1,0.0630700290203094,0.1670525223016739,757;1644;1144,UsMtMtu757;UsMtBillings1644;UsWaSpokane1144,17;93;57,2024-01-01 21:56:47,0.07253053337335581
75,757;1496;1644,3,8079,8083,8079,2,5,0.0629006996750831,0.1637831330299377,757;1644;1496,UsMtMtu757;UsMtBillings1644;UsWaWsu1496,17;93;83,2024-01-01 22:44:23,0.07233580462634556
76,757;1144;1382;1496;1691,5,5464,5464,5464,1,1,0.0498490557074546,0.1901838183403015,757;1496;1691;1382;1144,UsMtMtu757;UsWaWsu1496;UsWaRichland1691;UsWaSpokane1382;UsWaSpokane1144,17;83;101;66;57,2024-01-01 22:00:48,0.07228113077580917
77,757;1144;1358;1382;1484;1644,6,7325,7342,7341,5,18,0.0451579093933105,0.1929165571928024,757;1644;1484;1382;1358;1144,UsMtMtu757;UsMtBillings1644;UsNdMdudickinson1484;UsWaSpokane1382;USWaBellingham1358;UsWaSpokane1144,17;93;81;66;60;57,2024-01-01 22:32:05,0.0722526550292968
78,730;757;1144;1382;1484;1644;1691,7,6495,6542,6497,4,48,0.0412140153348445,0.1817785203456878,730;1644;1484;757;1382;1691;1144,UsMTMduglendive730;UsMtBillings1644;UsNdMdudickinson1484;UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;UsWaSpokane1144,11;93;81;17;66;101;57,2024-01-01 22:18:01,0.07212452683597788
79,757;1144;1382;1496;1644,5,8080,8085,8080,2,6,0.0497015416622161,0.1901203691959381,757;1644;1496;1382;1144,UsMtMtu757;UsMtBillings1644;UsWaWsu1496;UsWaSpokane1382;UsWaSpokane1144,17;93;83;66;57,2024-01-01 22:44:24,0.07206723541021334
80,757;1144;1358;1382;1496;1644,6,7343,7343,7343,1,1,0.0449793636798858,0.1952834576368332,757;1644;1496;1358;1382;1144,UsMtMtu757;UsMtBillings1644;UsWaWsu1496;USWaBellingham1358;UsWaSpokane1382;UsWaSpokane1144,17;93;83;60;66;57,2024-01-01 22:32:07,0.07196698188781729
81,730;757;1484;1644,4,7179,7223,7222,6,45,0.0553154349327087,0.1593424379825592,730;1644;1484;757,UsMTMduglendive730;UsMtBillings1644;UsNdMdudickinson1484;UsMtMtu757,11;93;81;17,2024-01-01 22:30:06,0.0719100654125213
82,757;1144;1358;1382;1691,5,6942,7014,6942,9,73,0.0495416745543479,0.177616000175476,757;1382;1691;1358;1144,UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;USWaBellingham1358;UsWaSpokane1144,17;66;101;60;57,2024-01-01 22:25:26,0.07183542810380446
83,730;757;1144;1358;1382;1644,6,7805,7807,7805,2,3,0.0447844825685024,0.1851485520601272,730;1644;757;1382;1358;1144,UsMTMduglendive730;UsMtBillings1644;UsMtMtu757;UsWaSpokane1382;USWaBellingham1358;UsWaSpokane1144,11;93;17;66;60;57,2024-01-01 22:39:49,0.07165517210960384
84,730;757;1144;1358;1496;1644,6,7047,7047,7047,1,1,0.0446932800114154,0.1998613029718399,730;1644;757;1496;1358;1144,UsMTMduglendive730;UsMtBillings1644;UsMtMtu757;UsWaWsu1496;USWaBellingham1358;UsWaSpokane1144,11;93;17;83;60;57,2024-01-01 22:27:11,0.07150924801826464
85,757;1144;1358;1382;1496;1691,6,7743,8129,7972,15,387,0.0444165915250778,0.1924227774143219,757;1496;1691;1358;1382;1144,UsMtMtu757;UsWaWsu1496;UsWaRichland1691;USWaBellingham1358;UsWaSpokane1382;UsWaSpokane1144,17;83;101;60;66;57,2024-01-01 22:42:36,0.07106654644012449
86,757;970;1144;1644,4,5729,5729,5729,1,1,0.0546184927225112,0.1863598376512527,757;1644;970;1144,UsMtMtu757;UsMtBillings1644;UsSdRapidcity970;UsWaSpokane1144,17;93;43;57,2024-01-01 22:05:13,0.07100404053926457
87,730;757;1144;1358;1382;1644;1691,7,7795,8151,7795,19,357,0.0405590571463108,0.1830222457647323,730;1644;757;1382;1691;1358;1144,UsMTMduglendive730;UsMtBillings1644;UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;USWaBellingham1358;UsWaSpokane1144,11;93;17;66;101;60;57,2024-01-01 22:39:39,0.0709783500060439
88,730;757;1144;1358;1382;1484;1644;1691,8,6276,6411,6387,10,136,0.0373300798237323,0.2032789438962936,730;1644;1484;757;1382;1691;1358;1144,UsMTMduglendive730;UsMtBillings1644;UsNdMdudickinson1484;UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;USWaBellingham1358;UsWaSpokane1144,11;93;81;17;66;101;60;57,2024-01-01 22:16:11,0.07092715166509136
89,730;757;1144;1382;1691,5,6491,6588,6494,18,98,0.0485142543911933,0.1719429790973663,730;757;1382;1691;1144,UsMTMduglendive730;UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;UsWaSpokane1144,11;17;66;101;57,2024-01-01 22:17:58,0.07034566886723029
